mfn;numero_control;titulo;autores;responsabilidad;lugar;editorial;anio;isbn;descripcion_fisica;coleccion;idioma;temas;inventarios;ubicaciones;signaturas
357;BNM000357;Cuidados intensivos de enfermería en el niño;Slota, Margaret C | Garza Caligaris, Rosa Isabel | Féher de la Torre, Guillermina;Margaret C. Slota , traducido por Rosa Isabel Garza Caligaris,  y Guillermina Féher de la Torre;Mexico;McGraw Hill;2000;970-10-2750-7;802 p.;;español;SALUD INFANTIL | DIAGNOSTICO | SALUD MATERNOINFANTIL | TRASTORNOS CARDIOVASCULARES | TRASTORNOS RESPIRATORIOS | TRASTORNOS RENALES | TRASTORNOS NEUROLOGICOS | TRASTORNOS HEMATICOS | ENFERMERIA | MEDICINA Y SALUD;002826 | 002932 | 002933 | 002827;KAMSHEN;613.95 SLO | 613.95 SLO | 613.95 SLO | 613.95 SLO
358;BNM000358;Psicología del desarrollo: infancia y adolescencia;Shaffer, David R | Kipp, Katherine;David R. Shaffer , Katherine Kipp;México;Thomson;2007;978-970-686-779-7;;;español;PSICOLOGIA DEL DESARROLLO | DESARROLLO DEL NINO | DESARROLLO FISICO | DESARROLLO DE CAPACIDADES | DESARROLLO DE LA PERSONALIDAD | FAMILIAS | AGRESIVIDAD | ADOLESCENCIA | DESEMPENO | ALTRUISMO | PSICOLOGIA;002842 | 002843;KAMSHEN;159.922 SHA | 159.922 SHA
359;BNM000359;Desarrollo del talento humano: basado en competencias;Alles, Martha Alicia;Martha Alles;Buenos Aires;Granica;2008;978-950-641-527-3;392 p.;;español;RECURSOS HUMANOS | GESTION POR COMPETENCIAS | DESARROLLO DEL TALENTO | ADMINISTRACION Y ORGANIZACION;2796;KAMSHEN;658.3 ALL
360;BNM000360;Dirección estratégica de recursos humanos: gestión por competencias;Alles, Martha Alicia;Martha Alicia Alles;Buenos Aires;Granica;2008;978-950-641-477-1;447 p.;;español;RECURSOS HUMANOS | EVALUACION DEL PERSONAL | MOTIVACIONES | FORMACION PROFESIONAL | REMUNERACIONES | GESTION POR COMPETENCIAS | SELECCION DE PERSONAL | ADMINISTRACION Y ORGANIZACION;2872;KAMSHEN;658.3 ALL
361;BNM000361;Inteligencia emocional en el trabajo: cómo seleccionar y mejorar la inteligencia emocional en individuos, grupos y organizaciones;Goleman, Daniel | Cherniss, Cary | Bennis, Warren | Portillo, Miguel;, editado por Daniel Goleman,  y Cary Cherniss,  y Warren Bennis;Barcelona;Kairós;2005;84-7254-583-1;431 p.;;español;RECURSOS HUMANOS | RECLUTAMIENTO | EVALUACION DEL PERSONAL | RELACIONES LABORALES | DESARROLLO DEL TALENTO | COMPETENCIAS | SELECCION DE PERSONAL | ADMINISTRACION Y ORGANIZACION;002889 | 002890;KAMSHEN;658.3 INT | 658.3 INT
362;BNM000362;Comportamiento organizacional;Robbins, Stephen P | Dávila Martinez, José Francisco Javier;Stephen P. Robbins , traducido por José Francisco Javier Dávila Martinez;México;Pearson Educación;2004;970-26-0423-0;675 p.;;español;RECURSOS HUMANOS | MOTIVACIONES | TOMA DE DECISIONES | GRUPOS | ORGANIZACION | COMPORTAMIENTO ORGANIZACIONAL | NEGOCIACION | ADMINISTRACION Y ORGANIZACION;1891;KAMSHEN;658.3 ROB
363;BNM000363;Teoría de administración de las organizaciones;Solanas, Ricardo | Pienovi, Aroldo A;Ricardo Solanas , Aroldo A. Pienovi;Buenos Aires;Contabilidad Moderna;1977;;385 p.;;español;ORGANIZACION | ADMINISTRACION | PLANIFICACION | TOMA DE DECISIONES | ESCUELAS DE LA ADMINISTRACION | ADMINISTRACION Y ORGANIZACION;136;KAMSHEN;658 SOL
364;BNM000364;Administración: una perspectiva global;Koontz, Harold | Weihrich, Heinz | Palos Báez, Enrique | Dávila Martínez, Francisco Javier;Harold Koontz ,  y Heinz Weihrich, Enrique Palos Báez,  y Francisco Javier Dávila Martínez;México;McGraw Hill;2004;970-10-3949-1;804 p.;;español;ADMINISTRACION | SOCIEDAD | ORGANIZACION | LIDERAZGO | CONTROL | DIRECCION | ADMINISTRACION Y ORGANIZACION;1885;KAMSHEN;658 KOO
365;BNM000365;Derecho de la seguridad social;Ruprecht, Alfredo J;Alfredo J. Ruprecht;Buenos Aires;Zavalía;1995;950-572-308-3;651 p.;;español;SEGURIDAD SOCIAL | SALARIO | PRESTACIONES DE MATERNIDAD | PRESTACIONES DE INVALIDEZ | PRESTACIONES POR ACCIDENTES | SALUD | DESEMPLEO | LEGISLACION | PRESTACIONES FAMILIARES | ADMINISTRACION Y ORGANIZACION;2880;KAMSHEN;364.3 RUP
366;BNM000366;Psicología del desarrollo;Bower, T.G.R;T.G.R. Bower;Madrid;Siglo XXI;1983;84-323-0474-3;436 p.;;español;PSICOLOGIA DEL DESARROLLO | DESARROLLO DEL NINO | DESARROLLO DE LA PERSONALIDAD | DESARROLLO DE CAPACIDADES | ADOLESCENCIA | INFANCIA | PSICOLOGIA;002840 | 002841;KAMSHEN;159.922 BOW | 159.922 BOW
367;BNM000367;Dirigiendo personas;Figuereido, Rubén | Hatum, Andrés;Rubén Figuereido , Andrés Hatum;Buenos Aires;Temas;2007;987-9164-95-4;193 p.;Recursos Humanos;español;RECURSOS HUMANOS | LIDERAZGO | MOTIVACIONES | DESEMPENO | ADMINISTRACION Y ORGANIZACION;002848 | 002849;KAMSHEN;658.3 FIG | 658.3 FIG
368;BNM000368;Nociones de salud pública;Martínez Hernandez, Juan;Juan Martínez Hernandez;Madrid;Díaz de Santos;2003;84-7978-562-4;351 p.;;español;SALUD PUBLICA | ENFERMEDADES | EPIDEMIOLOGIA | ENFERMEDADES CRONICAS | ENFERMEDADES INFECCIOSAS | MEDICINA Y SALUD;2271;KAMSHEN;614.4 MAR
369;BNM000369;Biología de los microorganismos;Madigan, Michael T | Martinko, John M | Parker, jack;Michael T. Madigan , John M. Martinko, jack Parker;Madrid;Pearson;2004;978-84-205-3679-8;1062 p. il.;;español;MICROBIOLOGIA | EPIDEMIOLOGIA | ENFERMEDADES INMUNOLOGICAS | BACTERIOLOGIA | MEDICINA Y SALUD;002818 | 002819;KAMSHEN;579 MAD | 579 MAD
370;BNM000370;Manual de diagnósticos de enfermería;Gordon, Marjory;Marjory Gordon;Madrid;Mc Graw Hill;2007;978-84-481-6063-0;400 p.;;español;DIAGNOSTICO | SALUD | ENFERMERIA | PROCESO DE ENFERMERIA | MEDICINA Y SALUD;002887 | 002888;KAMSHEN;614.253.5 GOR | 614.253.5 GOR
371;BNM000371;Administración de recursos humanos;Maristany, Jaime | Ayala, Juan Carlos;Jaime Maristany , revisado por Juan Carlos Ayala;México;Pearson Educación;2007;978-970-2608-509;445 p.;;español;RECURSOS HUMANOS | ORGANIZACION | COMUNICACION | MOTIVACIONES | LIDERAZGO | RELACIONES LABORALES | EVALUACION DEL PERSONAL | RECLUTAMIENTO | COMPORTAMIENTO ORGANIZACIONAL | CULTURA ORGANIZACIONAL | SELECCION DE PERSONAL | HIGIENE Y SEGURIDAD LABORAL | ADMINISTRACION Y ORGANIZACION;002870 | 002233;KAMSHEN;658.3 MAR | 658.3 MAR
372;BNM000372;Medio ambiente y desarrollo: manual de gestión de los recursos en función del medio ambiente;Seoánez Calvo, Mariano | Aguado, Irene Angulo | Chacón Auge, Alejandro | Berrocal del Brío, Manuel;Mariano Seoánez Calvo , con la colaboración de Irene Angulo Aguado, Alejandro Chacón Auge,  y Manuel Berrocal del Brío;Madrid;Mundi-Prensa;1998;84-7114-748-3;592 p.;;español;ECOLOGIA | MEDIO AMBIENTE NATURAL | DESARROLLO FORESTAL | GESTION DEL MEDIO AMBIENTE | POLITICA DEL MEDIO AMBIENTE | RECURSOS NATURALES | CONTAMINACION;1759;KAMSHEN;504 SEO
373;BNM000373;Biología: citología, anatomía y fisiología. genética. salud y enfermedad;Mérega, Herminia;, dirigido por Herminia Mérega;Buenos Aires;Santillana;1998;950-46-0564-8;447 p.;Santillana Polimodal;español;CELULAS | ANATOMIA | ENFERMEDADES | GENETICA | DROGADICCION | NUTRICION | SALUD | DESARROLLO Y CRECIMIENTO INFANTIL | BIOLOGIA;001731 | 001738 | 002897 | 002309;KAMSHEN;573 BIO | 573 BIO | 573 BIO | 573 BIO
374;BNM000374;Diccionario de sociología;Gallino, Luciano | Mastrangelo, Stella | Alegria, Lorenzo;Luciano Gallino , traducido por Stella Mastrangelo,  y Lorenzo Alegria;Buenos Aires;Siglo XXI;2005;968-23-1742-8;1003 p.;;español;DICCIONARIOS | SOCIOLOGIA | REFERENCIA;2828;KAMSHEN;(038)316 GAL
375;BNM000375;Desempeño por competencias: evaluación de 360º;Alles, Martha Alicia;Martha Alicia Alles;Buenos Aires;Granica;2008;978-950-641-540-2;331 p.;;español;RECURSOS HUMANOS | EVALUACION DEL PERSONAL | FORMACION PROFESIONAL | DESEMPENO | ADMINISTRACION Y ORGANIZACION;2815;KAMSHEN;658.3 ALL
376;BNM000376;Manual para regiduría de pisos;Navarro Ureña, Antonio;Antonio Navarro Ureña;Madrid;Thomson;2006;84-9732-491-9;198 p.;;español;HOTELES | HOTELERIA | SERVICIO DE LIMPIEZA | SERVICIO DE PISOS | GOBERNANTA | AMA DE LLAVES | TURISMO;002898 | 002899 | 002900;KAMSHEN;640.41 NAV | 640.41 NAV | 640.41 NAV
377;BNM000377;Historia económica, política y social de la Argentina (1880-2003);Rapoport, Mario | Madrid, Eduardo | Musacchio, Andrés | Vicente, Ricardo;Mario Rapoport , con la colaboración de Eduardo Madrid, Andrés Musacchio,  y Ricardo Vicente;Buenos Aires;Emecé;2005;978-950-04-2892-7;1037 p.;;español;SAENZ PENA, LUIS. 1892-95 | URIBURU, JOSE FELIX. 1930-32 | VIDELA. 1976-81 | DICTADURA | GUERRA DE MALVINAS | DEMOCRACIA | HISTORIA POLITICA ARGENTINA | HISTORIA SOCIAL | MODELO AGROEXPORTADOR 1880-1914 | PERONISMO | HISTORIA;002809 | 002810;KAMSHEN;94(82) RAP | 94(82) RAP
378;BNM000378;Vivir a oscuras: escenas cotidianas durante la dictadura;Caviglia, Mariana;Mariana Caviglia;Buenos Aires;Aguilar;2006;987-04-0343-3;207 p.;Cronica Argentina;español;DICTADURA | VIDA COTIDIANA | DERECHOS HUMANOS | GOLPE DE ESTADO | HISTORIA;2812;KAMSHEN;94(82) CAV
379;BNM000379;Argentina, 1976: estudios en torno al golpe de estado;Lida, Clara E | Crespo, Horacio | Yankelevich, Pablo;, compilado por Clara E. Lida, Horacio Crespo;Mexico;Fondo de Cultura Económica;2007;978-950-557-742-2;287 p.;Obras de Historia;español;SINDICALISMO | DICTADURA | DERECHOS HUMANOS | SUBVERSION EN ARGENTINA | HISTORIA POLITICA ARGENTINA | GOLPE DE ESTADO | HISTORIA;002808 | 002884;KAMSHEN;94(82) ARG | 94(82) ARG
380;BNM000380;Población y bienestar en la Argentina del primero al segundo centenario: una historia social del siglo XX;Torrado, Susana | Nun, José;, compilado por Susana Torrado,  y José Nun;Buenos Aires;Edhasa;2007;978-987-628-005-1;674 p.;;español;HISTORIA SOCIAL | MIGRACIONES POBLACIONALES | DERECHOS HUMANOS | POLITICA SANITARIA | DEMOGRAFIA HISTORICA | ESTRUCTURAS SOCIALES | CENSOS | HISTORIA;2824;KAMSHEN;94(82) POB
381;BNM000381;Población y bienestar en la Argentina del primero al segundo centenario: una historia social del siglo XX;Torrado, Susana;, compilado por Susana Torrado;Buenos Aires;Edhasa;2007;978-987-628-006-8;654 p.;;español;HISTORIA SOCIAL | DEMOGRAFIA HISTORICA | MIGRACIONES POBLACIONALES | INMIGRACION EN ARGENTINA | POBREZA | POBLACIONES URBANAS | POLITICA DE VIVIENDA | HISTORIA;2825;KAMSHEN;94(82) POB
382;BNM000382;Gestión y motivación del personal;;;Madrid;Díaz de Santos;1996;84-7978-243-9;255 p.;Guías  de Gestión de la Pequeña Empresa;español;RECURSOS HUMANOS | MOTIVACIONES | LIDERAZGO | DIRECCION | CULTURA EMPRESARIAL | ADMINISTRACION Y ORGANIZACION;002862 | 002863;KAMSHEN;658.3 GES | 658.3 GES
383;BNM000383;Sobre la Tierra del Fuego: en velero y aeroplano a través del país de mis sueños;Plüschow, Gunther;Gunther Plüschow;Buenos Aires;Simurg;2005;987-554-056-0;265 p. fot.;Testimonios;español;LITERATURA | VIAJES | BIOGRAFIAS | CRONICAS;002807 | 003707;KAMSHEN;(828.9)82-94 PLU | (828.9)82-94 PLU
384;BNM000384;Gestión total de la calidad para instituciones educativas: el trayecto necesario de los equipos directivos;Barcaglioni, Augusto;Augusto Barcaglioni;Buenos Aires;Redes;2005;987-21711-4;151 p.;Management de Instituciones Educativas;español;EDUCACION | GESTION | CALIDAD | INSTITUCIONES EDUCATIVAS | EQUIPO DIRECTIVO;002833 | 002834;KAMSHEN;37:65 BAR | 37:65 BAR
385;BNM000385;Sindicalismo  y peronismo: los comienzos de un vínculo perdurable;Del Campo, Hugo;Hugo Del Campo;Buenos Aires;Siglo XXI;2005;987-1220-09-X;389 p.;Historia y Cultura;español;SINDICALISMO | HISTORIA POLITICA ARGENTINA | MOVIMIENTO OBRERO | PERONISMO | POLITICA;002854 | 002855;KAMSHEN;321.65 CAM | 321.65 CAM
386;BNM000386;Gestión de hoteles: una nueva visión;Gallego, Jesús Felipe;Gallego, Luis Felipe;Madrid;Thomson;2002;978-84-283-2842-5;923 p.;;español;RESTAURACION HOTELERA | ETICA | CALIDAD | GESTION | PRESUPUESTO | MARKETING | EMPRESA HOTELERA | RECURSOS HUMANOS | HOSPITALIDAD | TURISMO;001778 | 001945 | 002702;KAMSHEN;640.4:65 GAL | 640.4:65 GAL | 640.4:65 GAL
387;BNM000387;Turismo social;Haulot, Arthur;Arthur Haulot;México;Trillas;1991;968-24-3576-5;182 p.;Trillas Turismo;español;VIAJES | TURISMO CULTURAL | TURISMO SOCIAL | TURISMO;1870;KAMSHEN;338.48 HAU
388;BNM000388;Comercialización de productos y servicios turísticos;Milio Balanzá, Isabel | Cabo Nadal, Mónica;Isabel Milio Balanzá , Mónica Cabo Nadal;Madrid;Thomson Learning;2000;84-283-2727-0;184 p.;Hostelería y Turismo;español;MARKETING TURISTICO | SERVICIOS TURISTICOS | PRECIOS DE PRODUCTOS TURISTICOS | ANALISIS DE MERCADO | COMUNICACION TURISTICA | OFERTA Y DEMANDA | TURISMO;001773 | 002787 | 002786;KAMSHEN;338.487 MIL | 338.487 MIL | 338.487 MIL
389;BNM000389;Dirección estratégica de recursos humanos: gestión por competencias;Alles, Martha Alicia;Martha Alicia Alles;Buenos Aires;Granica;2000;950-641-317-7;475 p.;;español;RECURSOS HUMANOS | EVALUACION DEL PERSONAL | FORMACION PROFESIONAL | REMUNERACIONES | GESTION POR COMPETENCIAS | SELECCION DE PERSONAL | ADMINISTRACION Y ORGANIZACION;1785;KAMSHEN;658.3 ALL
390;BNM000390;Abundancia de lo indispensable para todos: gobierno+mercado: para derrotar el desempleo estructural y sustentar el desarrollo;Guillermo, Laura | Sturzenegger, Adolfo;Laura Guillermo , Adolfo Sturzenegger;Buenos Aires;Pearson;2004;987-1147-21-X;316 p.;;español;DESEMPLEO | POBREZA | PLANIFICACION DE POLITICAS | POLITICA DE CRECIMIENTO ECONOMICO | GOBIERNOS | ARGENTINA | IGUALDAD | ECONOMIA;002813 | 002814;KAMSHEN;338 GUI | 338 GUI
391;BNM000391;La economía argentina: desde sus orígenes hasta principios del siglos XXI;Ferrer, Aldo | Rougier, Marcelo;Aldo Ferrer , con la colaboración de Marcelo Rougier;México;Fondo de Cultura Económica;2008;978-950-557-749-1;484 p.;Economía;español;ECONOMIA | HISTORIA ECONOMICA | GLOBALIZACION | REVOLUCION DE 1930 | MODELO AGROEXPORTADOR 1860-1930 | MODELO NEOLIBERAL | ECONOMIA ARGENTINA;002866 | 002928;KAMSHEN;330 FER | 330 FER
392;BNM000392;Sociedad y estado en tiempos de globalización;Campins, Mónica;Mónica Campins;Buenos Aires;Biblos;2007;978-950-786-585-5;94 p.;;español;MERCADO | GLOBALIZACION | ESTADO | SOCIEDAD CIVIL | ECONOMIA | TRABAJO | SOCIOLOGIA;002835 | 002836;KAMSHEN;316.42 CAM | 316.42 CAM
393;BNM000393;La condición humana;Arendt, Hannah | Cruz, Manuel;Hannah Arendt , Manuel Cruz;Buenos Aires;Paidós;2005;978-950-12-5414-3;366 p.;Estadio y Sociedad;español;VIDA COTIDIANA | SOCIEDAD | AMBITO PUBLICO | AMBITO PRIVADO | SOCIOLOGIA;2926;KAMSHEN;316 ARE
394;BNM000394;Etica y valores 1: un acercamiento práctico;Cázares González, Yolanda M | Morales Folch, Francisco J | Lozano Villalobos, Ana Luz | García Barrera, María Dalia;, Yolanda M. Cázares González, Francisco J. Morales Folch, Ana Luz Lozano Villalobos;México;Thomson;2006;970-686-530-6;374 p.;;español;ETICA | DEMOCRACIA | DERECHOS HUMANOS | FILOSOFIA;2723;KAMSHEN;17.01 ETI
395;BNM000395;Filosofía, ética, moral y valores;Nuño Vizcarra, Francisco;Francisco Nuño Vizcarra;México;Thomson;2004;970-686-396-6;119 p.;;español;ETICA | FILOSOFIA | VALORES | MORAL;2865;KAMSHEN;17.01 NUN
396;BNM000396;Métodos y técnicas de investigación social: como organizar el trabajo de investigación;Ander-Egg, Ezequiel;Ezequiel Ander-Egg;Buenos Aires;Lumen;2000;987-00-0004-5;156 p.;;español;INVESTIGACION | FORMULACION DEL PROBLEMA | METODOLOGIA DE LA INVESTIGACION | INFORME | PRESUPUESTO | DISENO DE LA INVESTIGACION | CIENCIA;1745;KAMSHEN;303.1 AND
397;BNM000397;Metodología de la investigación;Castañeda Jiménez, Juan | Torre Lozano, María Olivia de la | Morán Rodriguez, José Manuel | Lara Ramírez, Luz Patricia;Juan Castañeda Jiménez , María Olivia de la Torre Lozano, José Manuel Morán Rodriguez, Luz Patricia Lara Ramírez;México;McGraw Hill Interamericana;2002;970-10-3601-8;277 p. Incluye Software Interactivo;;español;COMPROBACION DE HIPOTESIS | FORMULACION DEL PROBLEMA | FORMULACION DE HIPOTESIS | METODOLOGIA DE LA INVESTIGACION | MUESTREO | RECOPILACION DE DATOS | INFORMES | ANALISIS DE DATOS | CIENCIA;2284;KAMSHEN;001.8 MET
398;BNM000398;El tunel;Sabato, Ernesto;Ernesto Sábato;Buenos Aires;Seix Barral;2007;978-950-731-381-3;142 p.;Biblioteca Breve;español;LITERATURA | LITERATURA ARGENTINA | NOVELAS;002861 | 005333;KAMSHEN;82-31(82) SAB | 82-31(82) SAB
399;BNM000399;Etica y moral: la búsqueda de los fundamentos;Boff, Leonardo;Leonardo Boff;Santander;Sal Terrae;2003;84-293-1546-2;134 p.;St Breve;español;DOCTRINAS ETICAS | FORMACION MORAL | FILOSOFIA;002858 | 002859;KAMSHEN;17 BOF | 17 BOF
400;BNM000400;La división del trabajo social;Durkheim, Emile | Posada, Carlos G;Emile Durkheim;Madrid;Akal;2001;84-7600-229-7;491 p.;;español;SOCIEDAD | TRABAJO | INDIVIDUOS | HECHOS SOCIALES | PROCESOS SOCIALES | SOCIOLOGIA;2860;KAMSHEN;316.4 DUR
401;BNM000401;El futuro de la administración;Hamel, Gary | Breen, Bill;Gary Hamel , Bill Breen;Bogotá;Norma;2008;978-958-45-0839-3;357 p.;;español;ADMINISTRACION DE EMPRESAS | NEGOCIOS | INNOVACIONES TECNOLOGICAS | ADMINISTRACION Y ORGANIZACION;2881;KAMSHEN;658 HAM
402;BNM000402;Paren las rotativas: diarios, revistas y periodistas 1920-1969;Ulanovsky, Carlos;Carlos Ulanovsky;Buenos Aires;Emecé;2005;950-04-2670-6;315 p.;;español;PRENSA | HISTORIA | PERIODICOS | MEDIOS DE COMUNICACION | COMUNICACION;2875;KAMSHEN;070(09) ULA
403;BNM000403;Todo Argentina: los 100 mejores lugares;Gobbi, Alberto E;Alberto E. Gobbi;Buenos Aires;Albatros;2007;978-950-24-1212-2;223 p. fot.;;español;GEOGRAFIA URBANA | CIUDADES | ARGENTINA | DESTINOS TURISTICOS | TURISMO;2877;KAMSHEN;338.48(82) GOB
404;BNM000404;Sociología del sistema: el impacto socioeconómico y político de las corporaciones trasnacionales;Sklair, Leslie;Leslie Sklair;Barcelona;Gedisa;2003;84-7432-845-4;413 p.;CLA-DE-MA;español;GLOBALIZACION | ASPECTOS POLITICOS | ASPECTOS ECONOMICOS | CORPORATIVISMO | CONSUMISMO | PAISES EN DESARROLLO | CORPORACIONES TRASNACIONALES | SOCIOLOGIA;002878 | 002879;KAMSHEN;316.32 SKL | 316.32 SKL
405;BNM000405;Física;Miguel, Carlos R;Carlos R. Miguel;Buenos Aires;El Ateneo;1995;950-02-7363-2;449 p.;;español;GASES | RADIACTIVIDAD | ENERGIA | ATOMOS | ELECTROMAGNETISMO | FISICA;002911 | 003025 | 003026;KAMSHEN;53(075) MIG | 53(075) MIG | 53(075) MIG
406;BNM000406;Física general: tomo 1: estática, cinemática, dinámica, gravedad, fluidos, termodinámica y ondas;Burbano de Ercilla, Santiago | Burbano García, Enrique | Gracia Muñoz, Carlos;Santiago Burbano de Ercilla , Enrique Burbano García, Carlos Gracia Muñoz;México;Alfaomega;2006;970-15-1106-9;2 v. (xv, 794 p.);;español;TERMODINAMICA | ENERGIA | ELECTROMAGNETISMO | ATOMOS | ELETRICIDAD | RELATIVIDAD | ELASTICIDAD | CINEMATICA | FISICA;2286;KAMSHEN;53 BUR
407;BNM000407;El rol del estado y la política industrial en los 90: aportes preliminares para una discusión inconclusa;Margariños, Carlos A | Díaz Pérez, José L | Sierra, Pablo H;Carlos A. Margariños , José L. Díaz Pérez, Pablo H. Sierra;Buenos Aires;Macchi;1995;950-537-321-X;132 p.;;español;POLITICA DE CRECIMIENTO ECONOMICO | ESTADO | PRIVATIZACION | REFORMA TRIBUTARIA | ARGENTINA | REFORMA LABORAL | ECONOMIA;002816 | 002817;KAMSHEN;338 MAG | 338 MAG
408;BNM000408;Salud pública y política;Mazzáfero, Vicente Enrique | Giacomini, Hebe | Fernández Iriarte, Marta;Vicente Enrique Mazzáfero , Hebe Giacomini, Marta Fernández Iriarte;Buenos Aires;Atlante;2007;978-950-9539-48-8;167 p.;;español;SALUD PUBLICA | ATENCION PRIMARIA DE LA SALUD | PLANIFICACION DE POLITICAS | POLITICA SANITARIA | ARGENTINA | AMERICA LATINA | MEDICINA Y SALUD;2280;KAMSHEN;614.4+32 MAZ
409;BNM000409;Martín Fierro;Hernández, José | Tiscornia, Eleuterio F;José Hernández , Eleuterio F. Tiscornia;Buenos Aires;Losada;2005;950-03-9366-2;391 p.;Grandes Clásicos;español;LITERATURA | LITERATURA ARGENTINA | POESIA | POESIA GAUCHESCA;2811;KAMSHEN;82-1(82) HER
410;BNM000410;Una nueva ley laboral: ley 25.877;Recalde, Héctor Pedro | Ciampa, Gustavo A | Recalde, Mariano;Héctor Pedro Recalde , Gustavo A. Ciampa, Mariano Recalde;Buenos Aires;Corregidor;2005;950-05-1588-1;477 p.;;español;DERECHO | DERECHO LABORAL | LEGISLACION LABORAL | LEGISLACION DEL TRABAJO | ARGENTINA;002856 | 002857;KAMSHEN;349.2 REC | 349.2 REC
411;BNM000411;El miedo a la libertad;Fromm, Erich | Germani, Gino;Erich Fromm , presentación de Gino Germani;Buenos Aires;Paidós;1965;;345 p.;Biblioteca del Hombre Contemporáneo;español;PSICOLOGIA | NAZISMO | LIBERTAD | PROCESOS SOCIALES;3161;KAMSHEN;159 FRO
412;BNM000412;Los mitos de la historia argentina 4: la Argentina peronista (1943-1955);Pigna, Felipe;Felipe Pigna;Buenos Aires;Planeta;2008;978-950-49-1980-3;373 p.;;español;HISTORIA POLITICA ARGENTINA | PERON. 1946-51 | PERON. 1952-55 | PERONISMO | HISTORIA;2915;KAMSHEN;94(82) PIG
413;BNM000413;Los usos del pasado: la historia y la políticas argentinas en discusión 1910-1945;Cattaruzza, Alejandro;Alejandro Cattaruzza;Buenos Aires;Sudamericana;2007;978-950-07-2874-4;207 p.;Nudos de la historia argentina;español;HISTORIA POLITICA ARGENTINA | HISTORIA SOCIAL | SIMBOLOS NACIONALES ARGENTINOS | FOLKLORE | HISTORIA;2917;KAMSHEN;94(82) CAT
414;BNM000414;Principios de economía política y tributación;Ricardo, David | Kolthammer, F. W;David Ricardo , F. W. Kolthammer;Buenos Aires;Claridad;2007;978-950-620-204-0;334 p.;;español;ECONOMIA POLITICA | IMPUESTOS | TRIBUTACION | ECONOMIA;2916;KAMSHEN;336.22 RIC
415;BNM000415;Los cuatro peronismos;Horowicz, Alejandro;Alejandro Horowicz;Buenos Aires;Edhasa;2007;978-950-9009-39-4;351 p.;;español;HISTORIA POLITICA ARGENTINA | CORDOBAZO | PERON. 1946-51 | PERON. 1952-55 | PERON. 1973-74 | PERONISMO | HISTORIA;2936;KAMSHEN;94(82) HOR
416;BNM000416;La Argentina política: una nación puesta a prueba;Floria, Carlos | Garcia Belsunce, César A;Carlos Floria , César A. Garcia Belsunce;Buenos Aires;El Ateneo;2005;950-02-6388-2;351 p.;;español;HISTORIA POLITICA ARGENTINA | DEMOCRACIA | FRONDIZI. 1958-62 | PERONISMO | ARISTOCRACIA | HISTORIA;2919;KAMSHEN;94(82) FLO
417;BNM000417;Los orígenes del fascismo argentino;Prislei, Leticia | Suriano, Juan;Leticia Prislei , editado por Juan Suriano;Buenos Aires;Edhasa;2008;978-987-628-027-3;188 p.;;español;HISTORIA POLITICA ARGENTINA | FASCISMO | HISTORIA;2918;KAMSHEN;94(82) PRI
418;BNM000418;La inmigración fascista en la Argentina;Bertagna, Federica | Giménez, Clara;Federica Bertagna;Buenos Aires;Siglo XXI;2007;978-987-629-016-6;294 p.;Historia y cultura;español;HISTORIA POLITICA ARGENTINA | INMIGRACION EN ARGENTINA | FASCISMO | HISTORIA SOCIAL | HISTORIA;2920;KAMSHEN;94(82) BER
419;BNM000419;Historia del petróleo en la Argentina: 1907-1955: desde los inicios hasta la caída de Perón;Gadano, Nicolás;Nicolás Gadano;Buenos Aires;Edhasa;2006;950-9009-83-0;710 p.;;español;HISTORIA POLITICA ARGENTINA | PETROLEO | PRESIDENCIAS ARGENTINAS | NACIONALISMO | PERONISMO | YACIMIENOS PETROLIFEROS FISCALES | HISTORIA;2929;KAMSHEN;94(82) GAD
420;BNM000420;Historia económica de la Argentina: de la conquista a la crisis de 1930;Míguez, Eduardo José;Eduardo José Míguez;Buenos Aires;Sudamericana;2008;978-950-07-2816-4;376 p.;;español;HISTORIA ECONOMICA | HISTORIA POLITICA ARGENTINA | ARGENTINA | EPOCA COLONIAL | MODELO AGROEXPORTADOR 1880-1914 | HISTORIA;2930;KAMSHEN;94:330(82) MIG
421;BNM000421;Historia intelectual del siglo XX;Watson, Peter;Peter Watson;Barcelona;Crítica;2007;978-84-8432-805-6;965 p.;Serie Mayor;español;HISTORIA CONTEMPORANEA | HISTORIA MODERNA | HISTORIA DE LAS IDEAS | HISTORIA;002931 | 002968;KAMSHEN;930.85 WAT | 930.85 WAT
422;BNM000422;Las ideas políticas en Argentina;Romero, José Luis;José Luis Romero;Buenos Aires;Fondo de Cultura Económica;2008;978-950-557-750-7;316 p.;Popular;español;HISTORIA POLITICA ARGENTINA | FASCISMO | SINDICALISMO | LIBERALISMO | FEDERALISMO ARGENTINO | ROSAS Y SU TIEMPO | EPOCA COLONIAL;2922;KAMSHEN;94(82) ROM
